Season,Team,Conference,Offense Ppa,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense SecondLevelYards,Offense OpenFieldYards,Offense PointsPerOpportunity,Offense FieldPosition AverageStart,Offense FieldPosition AveragePredictedPoints,Offense Havoc FrontSeven,Offense Havoc Db,Offense StandardDowns Rate,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Rate,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Rate,Offense RushingPlays Ppa,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Rate,Offense PassingPlays Ppa,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Ppa,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense SecondLevelYards,Defense OpenFieldYards,Defense PointsPerOpportunity,Defense FieldPosition AverageStart,Defense FieldPosition AveragePredictedPoints,Defense Havoc Total,Defense Havoc FrontSeven,Defense Havoc Db,Defense StandardDowns Rate,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Rate,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Rate,Defense RushingPlays Ppa,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Rate,Defense PassingPlays Ppa,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness
2021,Air Force,Mountain West,0.280817911,0.456804734,1.184023651,0.797979798,0.112175103,3.427633379,1.058823529,1.181942544,4.318181818,69.8,1.431,0.072189349,0.018934911,0.728994083,0.209368876,0.506493506,0.959133169,0.271005917,0.473012698,0.323144105,2.132210546,0.865088757,0.252864162,0.466484268,1.031868827,0.131360947,0.513721227,0.405405405,2.337019094,0.178030264,0.376311844,1.408220442,0.823529412,0.16918429,2.90060423,0.96978852,1.205438066,3.641509434,72.8,-1.204,0.20089955,0.133433283,0.067466267,0.625187406,0.082644296,0.417266187,1.103621867,0.374812594,0.337134059,0.308,2.096534103,0.496251874,0.170015376,0.371601208,1.189611379,0.497751124,0.201831761,0.385542169,1.618290088
2021,Akron,Mid-American,0.163525781,0.410029499,1.330614811,0.638888889,0.15483871,3.203870968,1.203225806,1.303225806,3.833333333,73.7,1.132,0.18879056,0.039823009,0.660766962,0.115838564,0.473214286,1.125432729,0.339233038,0.256412186,0.286956522,1.989684529,0.457227139,0.160550881,0.409677419,1.122651277,0.539823009,0.176616885,0.412568306,1.505524538,0.42094653,0.552671756,1.250915844,0.842105263,0.127272727,3.820779221,1.628571429,1.963636364,5.515625,70.4,-1.403,0.117557252,0.083969466,0.033587786,0.741984733,0.397439934,0.615226337,1.116094941,0.258015267,0.488545382,0.372781065,1.89078013,0.58778626,0.42549996,0.587012987,1.054227703,0.410687023,0.427736359,0.505576208,1.577765255
2021,Alabama,SEC,0.299162814,0.474485228,1.330936301,0.74025974,0.193675889,3.098814229,1.241106719,1.079051383,4.534653465,71,1.351,0.109221128,0.041181737,0.69740376,0.169423576,0.501925546,1.034547764,0.30259624,0.598177212,0.411242604,2.164662332,0.452999105,0.139172203,0.490118577,0.864646865,0.54610564,0.433591314,0.462295082,1.741006444,0.062393945,0.384050367,1.224717042,0.689655172,0.221176471,2.547058824,0.922352941,0.647058824,3.888888889,73.5,-1.136,0.200944386,0.13798531,0.062959077,0.654774397,0.018898475,0.451923077,1.035713514,0.345225603,0.144889913,0.255319149,1.859228888,0.445960126,-0.00388041,0.383529412,0.830711258,0.552990556,0.117376806,0.385199241,1.541086218
2021,Appalachian State,Sun Belt,0.268794263,0.452751817,1.306883212,0.743243243,0.148698885,3.243122677,1.115241636,1.100371747,4.390804598,69.3,1.468,0.087227414,0.064382139,0.698857736,0.258205096,0.524517088,1.108339023,0.301142264,0.293368434,0.286206897,2.151294043,0.55867082,0.174208416,0.440520446,0.97234775,0.44132918,0.388528818,0.468235294,1.705299818,0.091877547,0.371584699,1.371136629,0.636363636,0.268792711,2.425512528,1.006833713,1.157175399,3.242857143,72.6,-1.214,0.206557377,0.135519126,0.071038251,0.654644809,0.049266591,0.427378965,1.108976252,0.345355191,0.172649581,0.265822785,2.170101588,0.479781421,0.057957976,0.362186788,1.155433692,0.520218579,0.123160512,0.380252101,1.560621529
2021,Arizona,Pac-12,0.033360717,0.380297824,1.169402343,0.722222222,0.179948586,2.88277635,1.005141388,1.043701799,2.559322034,74.7,1.043,0.116838488,0.054982818,0.64604811,-0.059209263,0.45035461,0.887400462,0.35395189,0.202323398,0.252427184,2.087716162,0.44558992,0.071402427,0.40874036,0.885102509,0.549828179,0.040155496,0.360416667,1.430695254,0.222536178,0.417910448,1.337151749,0.732142857,0.17551963,3.079907621,1.127020785,1.357967667,4.603448276,72.8,-1.191,0.168249661,0.107191316,0.061058345,0.675712347,0.153047999,0.467871486,1.040201532,0.324287653,0.367327445,0.313807531,2.259677091,0.587516961,0.15143959,0.436489607,0.988094343,0.408412483,0.361162037,0.395348837,1.891537041
2021,Arizona State,Pac-12,0.301961919,0.494974874,1.201948752,0.861538462,0.136069114,3.621598272,1.457883369,1.416846652,4.242857143,71.2,1.324,0.110552764,0.028894472,0.711055276,0.247544638,0.565371025,0.99843358,0.288944724,0.435875749,0.32173913,2.082014357,0.581658291,0.342958815,0.552915767,1.016972626,0.414572864,0.267668585,0.418181818,1.545092869,0.114916034,0.398816568,1.183043352,0.79245283,0.155606407,2.975057208,1.013729977,0.972540046,3.424657534,72.4,-1.26,0.173964497,0.101775148,0.072189349,0.679289941,0.071237508,0.458188153,1.017939799,0.320710059,0.207430698,0.273062731,1.769830302,0.517159763,0.116038041,0.409610984,0.936081929,0.476923077,0.13896869,0.392059553,1.462828762
2021,Arkansas,SEC,0.272095346,0.444444444,1.285241003,0.795918367,0.180987203,3.282998172,1.383912249,1.574040219,3.607594937,72.6,1.229,0.121212121,0.043771044,0.689113356,0.198521194,0.506514658,1.093422181,0.310886644,0.435180289,0.306859206,1.987072223,0.613916947,0.235430123,0.469835466,1.077263278,0.383838384,0.339899478,0.406432749,1.669775358,0.126312423,0.396571429,1.228492921,0.646153846,0.198294243,2.898933902,0.942430704,0.948827292,3.029411765,71.8,-1.252,0.165142857,0.102285714,0.062857143,0.682285714,0.100436958,0.477386935,1.018033755,0.317714286,0.181879519,0.223021583,2.195926182,0.536,0.0696155,0.411513859,0.92598582,0.461714286,0.197607396,0.381188119,1.607608963
2021,Arkansas State,Sun Belt,0.12801484,0.367262724,1.353303564,0.608695652,0.173745174,2.933976834,1.111969112,1.038610039,3.366666667,74.4,1.11,0.158184319,0.110041265,0.651994498,0.034486163,0.41350211,1.082592418,0.348005502,0.303242479,0.280632411,2.10061884,0.356258597,0.005843699,0.366795367,0.776971841,0.63823934,0.227119038,0.370689655,1.671626319,0.33629351,0.444933921,1.482463351,0.720930233,0.171270718,3.25,1.254143646,2.997237569,4.509090909,71,-1.379,0.193832599,0.12041116,0.073421439,0.684287812,0.275336124,0.502145923,1.243049362,0.315712188,0.4684151,0.320930233,2.294389051,0.531571219,0.359747015,0.464088398,1.31128118,0.465491924,0.321799536,0.425867508,1.695490053
2021,Army,FBS Independents,0.269948491,0.468713105,1.154883933,0.857142857,0.117166213,3.135831063,0.944141689,1.217983651,4.5875,63.6,1.866,0.083825266,0.025974026,0.74498229,0.216322177,0.508716323,0.94608494,0.25501771,0.426606842,0.351851852,2.036784942,0.866587957,0.240449422,0.470027248,1.027835337,0.131050767,0.476825428,0.468468468,1.9978025,0.225409499,0.409217877,1.392323766,0.642857143,0.173295455,2.959943182,1.076704545,1.096590909,3.655172414,71,-1.309,0.171787709,0.107541899,0.06424581,0.673184358,0.18251926,0.470954357,1.17991519,0.326815642,0.313756061,0.282051282,2.122880538,0.491620112,0.193900291,0.397727273,1.212668743,0.501396648,0.26451093,0.426183844,1.556713983
2021,Auburn,SEC,0.209146021,0.436666667,1.267004233,0.714285714,0.177304965,3.153900709,1.278959811,1.574468085,3.851351351,72.3,1.251,0.094444444,0.045555556,0.68,0.161859386,0.491830065,1.067646793,0.32,0.309630122,0.319444444,1.919249773,0.47,0.221277918,0.46572104,1.076337225,0.528888889,0.200373599,0.411764706,1.458644032,0.100889759,0.409041981,1.214511032,0.55,0.234482759,2.622068966,1.020689655,0.908045977,3.521126761,73,-1.186,0.17868676,0.121636168,0.057050592,0.670613563,0.000812763,0.451043339,0.951745649,0.329386437,0.304641289,0.323529412,1.960340049,0.468245425,0.01642842,0.374712644,0.928465718,0.52744887,0.217828794,0.442857143,1.429374563
