Team,2021 Wins
Auburn,6
UAB,9
South Alabama,5
Arkansas,9
Arizona State,8
Arizona,1
San Diego State,12
San José State,5
Stanford,3
California,5
UCLA,8
USC,4
Colorado State,3
Colorado,4
Connecticut,1
Florida State,5
Florida,6
South Florida,2
Georgia Tech,3
Georgia,14
Hawai'i,6
Iowa State,7
Boise State,7
Northwestern,3
Indiana,2
Notre Dame,11
Kentucky,10
Louisville,6
Western Kentucky,9
LSU,6
Boston College,6
UMass,1
Maryland,7
Michigan State,11
Michigan,12
Minnesota,9
Missouri,6
Ole Miss,10
Duke,3
East Carolina,7
NC State,9
North Carolina,6
Wake Forest,11
Nebraska,3
Rutgers,5
New Mexico State,2
New Mexico,3
Syracuse,5
Bowling Green,4
Miami (OH),7
Ohio State,11
Ohio,3
Oklahoma State,12
Oklahoma,11
Tulsa,7
Oregon State,7
Penn State,7
Temple,3
Pittsburgh,11
Clemson,10
Memphis,6
Vanderbilt,2
Baylor,12
Rice,4
Texas A&M,8
Houston,12
North Texas,6
Texas,5
BYU,10
Utah,10
Virginia,6
Virginia Tech,6
Washington,4
Washington State,7
Wisconsin,9
Marshall,7
West Virginia,6
Fresno State,10
Georgia Southern,3
Old Dominion,6
Louisiana,13
Coastal Carolina,11
Texas State,4
Utah State,11
Alabama,13
Mississippi State,7
Army,9
Illinois,5
Air Force,10
Akron,2
Appalachian State,10
Arkansas State,2
Ball State,6
Buffalo,4
UCF,9
Central Michigan,9
Cincinnati,13
Eastern Michigan,7
Florida Atlantic,5
Florida International,1
Georgia State,8
Iowa,10
Kansas,2
Kansas State,8
Kent State,7
Liberty,8
Louisiana Tech,3
Miami,7
Middle Tennessee,7
Navy,4
Charlotte,5
Louisiana Monroe,4
UNLV,2
Nevada,8
Northern Illinois,9
Oregon,10
Purdue,9
SMU,8
Southern Mississippi,3
South Carolina,7
TCU,5
Tennessee,7
UT San Antonio,12
UTEP,7
Texas Tech,7
Toledo,7
Troy,5
Tulane,2
Western Michigan,8
Wyoming,7
